Role,Divisi,Perusahaan,Lokasi,Kriteria,Slot
Marketing Banquet Sales,Banquet Sales,SUMMARECON,Serpong,"Jurusan: Pendidikan S-1 Pariwisata, Marketing atau setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong				
				
Kriteria hard skills:				
- Mampu memantau kegiatan loading dan unloading materi event				
- Memiliki kemampuan untuk merencanakan, melaksanakan, dan improvement pada acara dalam rangka memenuhi target penjualan banquet  				
- Mampu menyusun Marketing strategy baik untuk offline maupun online				
- Memiliki kemampuan dalam perencanaan eksekusi				
  				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
",1
Research Internship,Research Internship,SUMMARECON,Jakarta,"Jurusan: Pendidikan S-1 Perencanaan Wilayah&Kota, Manajemen, Statistika dan Setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong				
				
Kriteria hard skills:				
- Memahami penggunaan alat-alat statistika dan SPSS		
- Melakukan riset terkait proyek kawasan		
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Mampu berpikir analitis dan penyelesaian masalah							",5
Marketing Mall (Desain Grafis),Marketing Mall (Desain Grafis),SUMMARECON,Serpong,"Jurusan: Pendidikan S-1 Desain Komunikasi Visual dan Setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong 				
				
Kriteria hard skills:				
• Memiliki berbagai pengalaman dalam kegiatan promosi akan menjadi nilai lebih				
• Keterampilan dalam menggunakan software editing grafis (Adobe Photoshop, Indesign, Illustrator)						
• Memiliki kemampuan untuk mengembangkan, membuat dan mengedit konten promosi						
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Memiliki kemauan untuk belajar dan menerima masukan serta pendapat dari orang lain",3
Facility (Mall),Facility (Mall),SUMMARECON,Serpong,"Jurusan: Pendidikan S-1 Sipil 				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong				
				
Kriteria hard skills:				
- Mengerti dan paham mengenai pembuatan produk, detail konstruksi, dan hal hal yang terkait, regulasi dan kualitas				
- Memiliki kemampuan menggambar yang baik dan familiar dengan penggunaan aplikasi design (Autocad, Sketch Up, dll)				
- Memiliki kemampuan manajemen proyek dan time management yang baik.				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Kemampuan berbahasa Inggris",2
Fit Out (Desain Interior),Fit Out,SUMMARECON,"Bekasi, Jakarta & Serpong","Jurusan: Pendidikan S-1 Desain Interior				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Bekasi, Jakarta & Serpong				
				
Kriteria hard skills:				
- Memiliki pengetahuan mengenai gaya dan trend				
- Memiliki kemampuan kreativitas desain				
- Menguasai teknologi dalam bentuk operational software				
- Memiliki keterampilan dalam perencanaan ruang				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Kemampuan berbahasa Inggris				",4
Design Architect,Design Architect,SUMMARECON,Jakarta,"Jurusan: Pendidikan S-1 Desain Interior atau setara	
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Jakarta	

Kriteria hard skills:				
- Mahir menggunakan Autocad dan Sketch Up				
- Memiiki kemampuan dalam pengoperasian software editing grafis (Adobe Photoshop, Indesign, Illustrator)				
- Memiliki kemampuan menggunakan aplikasi pendukung dalam pekerjaan (Ms Office/ WPS Office)				
- Memiliki kemampuan dasar dalam menghitung kebutuhan serta alternatif-nya dalam desain.				

Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Mampu melakukan manajemen waktu",3
F&B Banquet Service,F&B Banquet Service,SUMMARECON,Jakarta dan Serpong,"Jurusan: Pendidikan S-1 jurusan Perhotelan/Pariwisata/Tata Boga dan Setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan: Jakarta dan Serpong				
				
Kriteria hard skills:				
- Memiliki pengalaman handle event banquet seperti wedding maupun event sosial				
- Memiliki kemampuan dalam Public Speaking (nilai tambahan)				
- Paham dan dapat melaksanakan Hygiene dan Sanitation dalam area kerja dan area sekitarnya				
- Melakukan pemeriksaan rutin dan aktif baik dalam area kerjanya.				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
-Dapat bekerja dibawah tekanan dan mampu cepat beradaptasi dalam lingkungan kerja yang baru				",5
Marketing Properti (Promosi),Marketing Properti (Promosi),SUMMARECON,Bekasi dan Serpong,"Jurusan: Pendidikan S-1 Managemen Bisnis dan Setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Bekasi, Serpong				
				
Kriteria hard skills:				
• Memiliki berbagai pengalaman dalam kegiatan promosi akan menjadi nilai lebih				
• Keterampilan organisasi dan manajemen proyek yang kuat							
• Memiliki kemampuan untuk mengembangkan, membuat dan mengedit promotion plan			
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Memiliki kemauan untuk belajar dan menerima masukan serta pendapat dari orang lain				",2
IT,Information Technology (IT),SUMMARECON,Kota Jakarta Timur,"Jurusan: Pendidikan S-1 Sistem Informasi, Computer Science dan Setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Jakarta 			
				
Kriteria hard skills:				
- Menguasai pemrograman aplikasi web				
- Menguasai pengoperasian komputer (Aplikasi perkantoran)				
- Menguasai bahasa pemrograman PHP				
- Memiliki pengetahuan dalam pembuatan aplikasi CRUD				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Mampu berpikir analitis dan penyelesaian masalah				",3
Tata Kelola Kota/Kawasan,Town Management ( IT),SUMMARECON,Serpong,"Jurusan: Pendidikan S-1 Informatika dan Setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong
		
Kriteria hard skills:
- Menguasai pemrograman front end atau back end				
- Memiliki pengetahuan pemrograman AI				
- Memahami teknik penetrasi atau tester				
- Menguasai data engineering, data analis dan data science				

Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				",2
Tata Kelola Kawasan/Kota,Town Management (Perencanaan Wilayah&Kota),SUMMARECON,Serpong,"Jurusan: Pendidikan S-1 Perencanaan Wilayah&Kota dan Setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong				
				
Kriteria hard skills:				
- Menguasai dasar manajemen sumber daya dan pengelolaan kawasan				
- Menguasai dasar program kerja harian yang akan dilakukan				
- Memahami teknik sistem kerja (jadwal kerja, jadwal pemantauan, dan pemeliharaan)				
- Memastikan pemeriksaan rutin dan baik dalam area kerja				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				",2
Fit Out (Arsitektur),Fit Out,SUMMARECON,"Bekasi, Jakarta & Serpong","Jurusan: Pendidikan S-1 Arsitektur				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong				
				
Kriteria hard skills:				
- Mengerti dan paham mengenai pembuatan produk, detail konstruksi, dan hal hal yang terkait, regulasi dan kualitas				
- Memiliki kemampuan menggambar yang baik dan familiar dengan penggunaan aplikasi design (Autocad, dll)				
- Memiliki kemampuan manajemen proyek dan time management yang baik.				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Kemampuan berbahasa Inggris				",1
Human Resources ,Human Resources,SUMMARECON,Jakarta dan Serpong,"Jurusan: Pendidikan S-1 Psikologi, Management dan Setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Unit Mall Serpong & Jakarta 				
				
Kriteria hard skills:				
- Memiliki kemampuan dalam menggunakan Microsoft Excel atau SPSS (familiar dengan alat-alat test psikologi)				
- Memiliki nilai plus jika memiliki kemampuan dalam menggunakan Canva				
- Memiliki kemampuan dalam perencaan event internal HR	
- Memiliki kemampuan dalam mengurus proses administrasi			
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Analitis dan terstruktur				",2
HR Training Officer,People Development,SUMMARECON,Kota Jakarta Timur,"Jurusan: Teknologi Pendidikan atau jurusan lain yang setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan: Jakarta				
				
Kriteria hard skills:				
- Menguasai dasar pendidikan dan pengajaran.				
- Menguasai dasar penyusunan silabus, Modul, dan penjadwalan pendidikan serta pengajaran.				
- Menguasai cara penyampaian /delivery training.				
- Menguasai cara evaluasi efektivitas pengajaran/penyampaian training.				
- Menguasai cara pengembangan modul pelatihan secara berkesinambungan.				
- Mengerti dan paham penggunaan Program/Aplikasi LMS Moodle				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Menyukai bidang pelatihan dan penyusunan pelatihan",5
NVB - Quality Assurance ,New Venture Businesses,SUMMARECON,Serpong,"Jurusan: Pendidikan S-1 Teknologi Informasi, Computer Science dan Setara	
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong				

Kriteria hard skills:				
- Mampu melakukan bugs hunting
- Memiliki pengetahuan tentang manual testing
- Memiliki pengetahuan tentang automatic testing
- Memiliki keterampilan untuk membuat skenario testing baik manual testing maupun auto testing		

Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Analitis dan Teliti	
",3
NVB - Junior Developer ,New Venture Businesses,SUMMARECON,Serpong,"Jurusan: Pendidikan S-1 Teknologi Informasi, Computer Science dan Setara	
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong
				
Kriteria hard skills:				
- Mampu create software new project with php laravel
- bugs fixing software and improvement
- best practice code implementation		

Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Analitis dan Teliti	
",1
Project/QS,Project/QS,SUMMARECON,"Bekasi, Jakarta & Serpong","Jurusan: Pendidikan S-1 Sipil (diutamakan Manajemen Struktur)				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Serpong				
				
Kriteria hard skills:				
- Mengerti dan paham mengenai pembuatan produk, detail konstruksi, dan hal hal yang terkait, regulasi dan kualitas				
- Memiliki kemampuan menggambar yang baik dan familiar dengan penggunaan aplikasi design (Autocad, SAP)				
- Memiliki kemampuan untuk membaca gambar proyek				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Kreatif				",6
Planning & Design,Planning & Design,SUMMARECON,"Jakarta, Serpong, Bandung, dan Bogor","Jurusan: Pendidikan S-1 Perencanaan Wilayah&Kota, Arsitektur atau setara				
Jenjang: S1				
Semester: Minimal semester 6				
Penempatan/Domisili: Bekasi, Jakarta, Serpong, Bogor & Bandung				
				
Kriteria hard skills:				
- Mahir menggunakan Autocad dan Sketch Up				
- Memiiki kemampuan dalam pengoperasian software editing grafis (Adobe Photoshop, Indesign, Illustrator)				
- Memiliki kemampuan menggunakan aplikasi pendukung dalam pekerjaan (Ms Office/ WPS Office)				
- Memiliki kemampuan dasar dalam menghitung kebutuhan serta alternatif-nya dalam desain.				
				
Kriteria soft skills:				
- Komunikasi 				
- Bekerja dalam tim				
- Memiliki inisiatif tinggi				
- Mampu melakukan manajemen waktu				",13
Recruitment Analyst,AHM - Optimalization Employer Branding & Recruitment Process Internship Program,Astra,Kota Jakarta Utara,"Jurusan: Psikologi, Manajemen SDM, Teknik Industri
Jenjang: S1
Semester: Minimal semester 6
IPK: min 3.00 (skala 4.00)

Kriteria hard skills:
- Memiliki pengetahuan terkait bagaimana melakanakan dan mimpin jalannya proses tes serta tahapan seleksi recruitment
- Memiliki pengetahuan terkait macam-macam alat tes
- Memiliki pengetahuan terkait assessment
- Dapat mengolah data proses seleksi dari keseluruhan kandidat sebagai bahan analisa untuk pengambilan keputusan agar proses recruitment ke depannya bisa berjalan dengan lebih baik lagi
 
Kriteria soft skills:
- Attention to detail
- Problem solving skill
- Mampu mengolah data yang sangat beragam
- Bermotivasi tinggi


Kriteria Lainnya:
- Bersedia ditugaskan di seluruh plant AHM & jaringannya
- Bersedia ditugaskan di area kantor dan pabrik",2
AIHO - Paralegal ,AIHO - Legal Research And Assistance On Logistic Technology Business And The Implementation Of The New Job Creation Law,Astra,Kota Jakarta Timur,"1. S1 from legal major (specifically any student who has interest in technology business or focus in civil law;
2. Having experiences in any legal competition related with business law; or having experience in conducting legal research in technology law;
3. Excellent in conducting legal research; 
4. Highly organized; 
5. Good in communication and negotiations.",1
AIHO - Finance & Accounting Intern,AIHO - Finance & Accounting Development,Astra,Kota Jakarta Timur,"1. S1 majoring in Accounting min. semester 6 
2. Able to operate Ms. Excel
3. Have an understanding in Audit Process and Taxation
3. Excellent communication skills
4. Problem-solving skills
5. Excellent interpersonal skills
6. Highly organized",1
AIHO - Operation Development Intern,AIHO - Logistics Operation And System Development,Astra,Kota Jakarta Timur,"1. S1 any major, preferably Industrial Engineering / Logistics Management, min. semester 6
2. Preferably familiar with logistic flow process and system  
3. Having experiences in extracurriculer / organization 
4. Excellent communication skills
5. Problem-solving skills
6. Excellent interpersonal skills
7. Highly flexible, easy to adapt with new environment, project management and team worK",2
AIHO - Business Development Intern,AIHO - Development Of Core Business Operation,Astra,Kota Jakarta Timur,"1. S1 from any major, preferably : Teknik Industri, Teknik Oromotif, Teknik Mesin, Bisnis, Manajemen, min. semester 6. 
2. Soft skill: Having experiences in extracurriculer / organization, Excellent communication skills, Problem-solving skills, Excellent interpersonal skills., Highly organized., Good people skills.
3. Hard skill: Microsoft office, data analytics",5
AIHO - HC Business Partner Intern,AIHO - Human Capital Management & Systems Development,Astra,Kota Jakarta Timur,"1. S1 from any major, preferably Industrial Engineering / Psychology / Accounting / Management / Law, min. semester 6 
2. Having experiences in extracurricular / organization / internship
3. Excellent communication skills
4. Problem-solving skills
5. Excellent interpersonal skills
6. Highly organized
7. Good people skills",4
Compliance Analyst,AHM - Jurisprudence Catalogue Project,Astra,Kota Jakarta Utara,"Jurusan: Hukum
Jenjang: S1
Semester: Minimal semester 6
IPK: min 3.00 (skala 4.00)

Kriteria hard skills:
- Memiliki pengetahuan terkait hukum acara perdata
- Memiliki pengetahuan terkait Hukum Ketenagakerjaan dan update terhadap issue ketenagakerjaan
- Mampu melakukan analisa hukum untuk membuat Legal Opinion (Pendapat hukum)
 
Kriteria soft skills:
- Suka dengan hal detail
- Berani untuk melakukan judgement
- Suka berpikir kritis dan tajam
- Berinisiatif tinggi & berkomitmen

Kriteria Lainnya:
- Bersedia ditugaskan di seluruh plant AHM & jaringannya
- Bersedia ditugaskan di area kantor dan pabrik
",5
Finance Analyst,AHM - Financial Process & Analysis,Astra,Kota Jakarta Utara,"Jurusan: Akuntansi/Manajemen/Manajemen Keuangan
Jenjang: S1
Semester: Minimal semester 6

Kriteria hard skills:
- Mahir menggunakan Microsoft Office, khususnya Microsoft Excel & Power Point
- Memahami dan menguasai prinsip Akuntansi Dasar
- Dapat melakukan analisa keuangan

Kriteria soft skills:
- Mempunyai Interpersonal Skill yang baik 
- Mampu bekerja sama dalam tim
- Memiliki kemauan belajar dan inisiatif tinggi
- Suka melakukan analisa, kritis dan terstruktur
- Suka dengan hal yang detail dan yang berkaitan dengan angka

Kriteria Lainnya:
- Bersedia ditugaskan di seluruh plant AHM
- Bersedia ditugaskan di area kantor dan pabrik",4
2. ADM-Automation Process Improvement Internship Program,ADM-Development of Process Automation in Manufacturing Internship Program,Astra,Kota Jakarta Utara,"Jurusan: 
Teknik Mesin
Sistem Informasi
Teknik Informatika
Teknik Komputer
Teknik Elektro
Teknik Fisika 
Teknik Intrumentasi (mekatronika)

Jenjang: D3 / D4 / S1
Semester: Minimal semester 6

Kriteria hard skills:
- PLC (Mitsubishi Motor)
- Micro Controller (Arduino)
- Relay System
- Mechanical 3D Drawing (Catia, Autodesk Inventor, Solidwork) & simulation (Ansys)
- Bahasa Pemrograman Native
  PHP, Javascript, mySql, Ajax, Jquery, Power BI, Phyton, Cisco
- Robotic system
- SCADA
- IOT

Kriteria soft skills:
- Mengerti SDLC (System Development Life Cycle)
- Memiliki kemampuan komunikasi yang baik
- Mampu bekerja dalam tim
- Memiliki inisiatif tinggi
- Critical thinking
- Terstruktur",1
TSO - Recruitment Analyst,TSO - TRUST Project,Astra,Kota Jakarta Utara,"• Mahasiswa (S1) aktif minimal semester 5 semua jurusan
• Minat dalam Research
• Strong analytical thinking
• Good communication skill
• Ms Office , Excel, Word dan Powerpoint",1
TSO - People Development Analyst ,TSO - Human Capital Development,Astra,Kota Jakarta Utara,"• Memiliki background pendidikan S1 diutamakan Teknik Informatika (IT) dan Sistem Informasi
• Memiliki berbahasa inggris baik lisan maupun tulisan
• Memiliki kemampuan analytical thinking & suka menulis (isu strategic maupun pengetahuan umum) 
• Memiliki ketertarikan dalam pengembangan kurikulum & silabus pembelajaran
• Aktif berorganisasi baik di Kampus maupun diluar Kampus, serta aktif keterlibatan dalam kepanitiaan acara (teamwork skill)
• Memiliki keinginan untuk belajar hal baru dan cepat menangkap pengetahuan
• Mampu beradaptasi dengan lingkungan.
",3
TSO - Vendor Management Analyst ,TSO - Vendor Management,Astra,Kota Jakarta Utara,"• Mahasiswa (S1) aktif minimal semester 5 semua jurusan
• Memiliki kemampuan komunikasi yang baik baik secara internal dan external
• Mampu melakukan pengolahan data, analisa dan visualisasi data (minimal ppt)
• Diutamakan disiplin pendidikan matematika / statistik
• Diutamakan pernah mengetahui terkait konsep Enviroment, Social & Government
",2
TSO - Marketing Analyst ,TSO - OtoXpert,Astra,Kota Jakarta Utara,"- Mahasiswa (S1) aktif minimal semester 5
- Major : Communication, Public Relation, Graphic Design, Management and any major
- Memiliki kemampuan yang baik dalam graphic design, copywriting dan cinematography
- Memiliki Passion dan Minat di Dunia Marketing
- Mampu Beradaptasi dengan Baik dan Cepat
- Kreatif
- Memiliki Kemampuan Komunikasi Yang Baik
",2
TSO - Knowledge Management Analyst,TSO - Human Capital Development,Astra,Kota Jakarta Utara,"• Memiliki background pendidikan S1 diutamakan Manajemen, Administrasi Publik/ Bisnis, dan Sistem Informasi
• Memiliki berbahasa inggris baik lisan maupun tulisan
• Memiliki kemampuan analytical thinking & suka menulis (isu strategic maupun pengetahuan umum) 
• Aktif berorganisasi baik di Kampus maupun diluar Kampus, serta aktif keterlibatan dalam kepanitiaan acara (teamwork skill)
• Memiliki keinginan untuk belajar hal baru dan cepat menangkap pengetahuan
• Mampu beradaptasi dengan lingkungan
",1
TSO - Organization Development Analyst,TSO - Human Capital Organization Development & Recruitment,Astra,Kota Jakarta Utara,"• Mahasiswa (S1) aktif minimal semester 5
• Major : Industrial Engineering, Statistics, Psychology, Human Resource, Public Relation, Management and any major
• Memiliki kemampuan yang baik dalam mengoperasikan excel, menyusun dan melakukan presentasi
• Memiliki Passion dan Minat di Dunia Human Capital
• Memiliki sense data dan mampu mengolahnya dengan baik
• Mampu Beradaptasi dengan Baik dan Cepat
• Kreatif dan memiliki Kemampuan Komunikasi Yang Baik
",1
TSO - Branding & Content Strategy,TSO - Human Capital Organization Development & Recruitment,Astra,Kota Jakarta Utara,"""• Mahasiswa aktif S1 minimal semester 5
• Berasal dari semua jurusan 
• Memiliki inisiatif yang tinggi
• Memiliki kemampuan graphic design, copy writing & content
• Mampu beradaptasi dengan baik dan cepat
• Mampu bekerja dalam tim""
",1
TSO - Big Data Analyst,TSO - Re-inventing delight (Elevate Customer Experience in customer journey),Astra,Kota Jakarta Utara,"• Mahasiswa aktif S1 minimal semester 5
• Berasal dari program studi Ilmu Komunikasi
• Mampu berpikir analitis
• Memiliki pemahaman mengenai SEM dan SEO
• Menguasai data science
",1
TSO - Content Creator,TSO - Re-inventing delight (Elevate Customer Experience in customer journey),Astra,Kota Jakarta Utara,"• Peserta merupakan mahasiswa aktif minimal semester 5, berasal dari program studi Ilmu Komunikasi, Advertising & media, Desain Komunikasi Visual
• Peserta sedang menempuh jenjang pendidikan Sarjana
• Memiliki kemampuan desain grafis dan cinematography
• Memiliki kemampuan copywriting
",2
TSO - Customer Service Analyst,TSO - Re-inventing delight (Elevate Customer Experience in customer journey),Astra,Kota Jakarta Utara,"""• Mahasiswa aktif S1 minimal semester 5
• Berasal dari jurusan Sistem Informasi atau Manajemen Informasi
• Memiliki inisiatif yang tinggi
• Memiliki kemampuan analisa data yang baik
• Mampu beradaptasi dengan baik dan cepat
• Mampu bekerja dalam tim""
",3
